Entity,Code,Year,ei_legal
Afghanistan,AFG,2024,0
Africa,,2024,20.723385
Albania,ALB,2024,62.27
Algeria,DZA,2024,3.42
Andorra,AND,2024,85.71
Angola,AGO,2024,66.19
Antigua and Barbuda,ATG,2024,84.21
Argentina,ARG,2024,87.17
Armenia,ARM,2024,47.73
Asia,,2024,48.20449
Australia,AUS,2024,89.65
Austria,AUT,2024,92.96
Azerbaijan,AZE,2024,48.18
Bahamas,BHS,2024,46.19
Bahrain,BHR,2024,30.77
Bangladesh,BGD,2024,23.25
Barbados,BRB,2024,54.76
Belarus,BLR,2024,40.46
Belgium,BEL,2024,87.05
Belize,BLZ,2024,55
Benin,BEN,2024,43.81
Bhutan,BTN,2024,53.33
Bolivia,BOL,2024,83.64
Bosnia and Herzegovina,BIH,2024,63.33
Botswana,BWA,2024,61.91
Brazil,BRA,2024,97.96
Brunei,BRN,2024,6.83
Bulgaria,BGR,2024,55.46
Burkina Faso,BFA,2024,52.22
Burundi,BDI,2024,10.24
Cambodia,KHM,2024,53.89
Cameroon,CMR,2024,5.5
Canada,CAN,2024,95.46
Cape Verde,CPV,2024,51.22
Central African Republic,CAF,2024,31.67
Chad,TCD,2024,18.05
Chile,CHL,2024,100
China,CHN,2024,51
Colombia,COL,2024,94.55
Comoros,COM,2024,15.39
Congo,COG,2024,43.81
Costa Rica,CRI,2024,83.33
Cote d'Ivoire,CIV,2024,33.16
Croatia,HRV,2024,81.36
Cuba,CUB,2024,80.91
Cyprus,CYP,2024,80
Czechia,CZE,2024,71.25
Democratic Republic of Congo,COD,2024,34.21
Denmark,DNK,2024,91.59
Djibouti,DJI,2024,32.82
Dominica,DMA,2024,50
Dominican Republic,DOM,2024,50
East Timor,TLS,2024,46.32
Ecuador,ECU,2024,80.46
Egypt,EGY,2024,7.33
El Salvador,SLV,2024,48.57
Equatorial Guinea,GNQ,2024,48.57
Eritrea,ERI,2024,6.34
Estonia,EST,2024,83.64
Eswatini,SWZ,2024,21.45
Ethiopia,ETH,2024,7
Europe,,2024,65.955826
Fiji,FJI,2024,53.57
Finland,FIN,2024,85
France,FRA,2024,90
Gabon,GAB,2024,45.79
Gambia,GMB,2024,12.56
Georgia,GEO,2024,63.72
Germany,DEU,2024,95.23
Ghana,GHA,2024,17.07
Greece,GRC,2024,93.18
Grenada,GRD,2024,35
Guatemala,GTM,2024,49.76
Guinea,GIN,2024,20.49
Guinea-Bissau,GNB,2024,46.19
Guyana,GUY,2024,26.51
Haiti,HTI,2024,46
Honduras,HND,2024,59.05
Hungary,HUN,2024,62.27
Iceland,ISL,2024,90.48
India,IND,2024,65
Indonesia,IDN,2024,17.78
Iran,IRN,2024,5.13
Iraq,IRQ,2024,4.32
